accepted,clicked_profile,collectionId,collectionName,created,features,from_user,id,invited,rank_in_list,rejected,responded,rule_score,session_id,shown,shown_at,to_user,updated
False,True,pbc_3452021157,recommendation_logs,2025-12-14 17:30:34.996Z,"{'clicked_profile': True, 'exposure_p': 0.939, 'home_court': 25, 'intensity': 30, 'invited_at': '2025-12-14T17:30:35.069218+00:00', 'level': 20, 'mode': 'friend', 'rank_shown': 1, 'response': 'rejected', 'session_id': 'f204a026-e885-4669-b3d4-635ff07ede90', 'shown_at': '2025-12-14T17:30:35.056525+00:00', 'sim_p_accepted': 0.605, 'sim_p_click': 0.7, 'sim_p_dismiss': 0.191, 'sim_p_invited': 0.35, 'style': 10, 'synthetic_version': 'v3_funnel'}",0edtk2tg22e8juy,vb4u9zywe6mpqpk,True,1,True,True,85,f204a026-e885-4669-b3d4-635ff07ede90,True,2025-12-14 17:30:35.056Z,mt56872w8tngo2i,2025-12-14 17:30:35.076Z
False,False,pbc_3452021157,recommendation_logs,2025-12-14 17:30:34.998Z,"{'exposure_p': 0.826, 'home_court': 25, 'intensity': 30, 'level': 20, 'mode': 'friend', 'rank_shown': 2, 'session_id': 'f204a026-e885-4669-b3d4-635ff07ede90', 'shown_at': '2025-12-14T17:30:35.056525+00:00', 'style': 5, 'synthetic_version': 'v3_funnel'}",0edtk2tg22e8juy,611qmrhis50bxe3,False,2,False,False,80,f204a026-e885-4669-b3d4-635ff07ede90,True,2025-12-14 17:30:35.056Z,gx6yyxp5bmogkef,2025-12-14 17:30:35.079Z
False,True,pbc_3452021157,recommendation_logs,2025-12-14 17:30:35.001Z,"{'clicked_profile': True, 'dismiss_reason': 'too_far', 'exposure_p': 0.704, 'home_court': 25, 'intensity': 30, 'level': 20, 'mode': 'friend', 'rank_shown': 3, 'session_id': 'f204a026-e885-4669-b3d4-635ff07ede90', 'shown_at': '2025-12-14T17:30:35.056525+00:00', 'sim_p_click': 0.643, 'sim_p_dismiss': 0.196, 'style': 5, 'synthetic_version': 'v3_funnel'}",0edtk2tg22e8juy,ra53id95viyww7l,False,3,True,True,80,f204a026-e885-4669-b3d4-635ff07ede90,True,2025-12-14 17:30:35.056Z,sh7otuxydszlhx4,2025-12-14 17:30:35.090Z
False,False,pbc_3452021157,recommendation_logs,2025-12-14 17:30:35.004Z,"{'exposure_p': 0.594, 'home_court': 25, 'intensity': 30, 'level': 12, 'mode': 'friend', 'rank_shown': 4, 'session_id': 'f204a026-e885-4669-b3d4-635ff07ede90', 'shown_at': '2025-12-14T17:30:35.056525+00:00', 'style': 12.5, 'synthetic_version': 'v3_funnel'}",0edtk2tg22e8juy,4vrqbbxqq74adgm,False,4,False,False,79.5,f204a026-e885-4669-b3d4-635ff07ede90,True,2025-12-14 17:30:35.056Z,2nuewm90ekdtlgp,2025-12-14 17:30:35.093Z
False,False,pbc_3452021157,recommendation_logs,2025-12-14 17:30:35.007Z,"{'exposure_p': 0.5, 'home_court': 25, 'intensity': 30, 'level': 20, 'mode': 'friend', 'rank_shown': 5, 'session_id': 'f204a026-e885-4669-b3d4-635ff07ede90', 'shown_at': '2025-12-14T17:30:35.056525+00:00', 'style': 4.166666666666666, 'synthetic_version': 'v3_funnel'}",0edtk2tg22e8juy,q13frxisa489hj9,False,5,False,False,79.17,f204a026-e885-4669-b3d4-635ff07ede90,True,2025-12-14 17:30:35.056Z,4hrs8viwx0b5ckv,2025-12-14 17:30:35.096Z
False,False,pbc_3452021157,recommendation_logs,2025-12-14 17:30:35.010Z,"{'exposure_p': 0.423, 'home_court': 25, 'intensity': 30, 'level': 12, 'mode': 'friend', 'rank_shown': 6, 'session_id': 'f204a026-e885-4669-b3d4-635ff07ede90', 'shown_at': '2025-12-14T17:30:35.056525+00:00', 'style': 8.333333333333332, 'synthetic_version': 'v3_funnel'}",0edtk2tg22e8juy,82o3t4i9742j53j,False,6,False,False,75.33,f204a026-e885-4669-b3d4-635ff07ede90,True,2025-12-14 17:30:35.056Z,m93g4wkh7q5jzy2,2025-12-14 17:30:35.099Z
False,True,pbc_3452021157,recommendation_logs,2025-12-14 17:30:35.012Z,"{'clicked_profile': True, 'exposure_p': 0.361, 'home_court': 0, 'intensity': 30, 'level': 20, 'mode': 'friend', 'rank_shown': 7, 'response': 'no_invite', 'session_id': 'f204a026-e885-4669-b3d4-635ff07ede90', 'shown_at': '2025-12-14T17:30:35.056525+00:00', 'sim_p_click': 0.54, 'sim_p_dismiss': 0.165, 'sim_p_invited': 0.22, 'style': 25, 'synthetic_version': 'v3_funnel'}",0edtk2tg22e8juy,l8t4jt4v0diy98o,False,7,False,False,75,f204a026-e885-4669-b3d4-635ff07ede90,True,2025-12-14 17:30:35.056Z,4yivtv4m3fuv8bp,2025-12-14 17:30:35.109Z
False,True,pbc_3452021157,recommendation_logs,2025-12-14 17:30:35.014Z,"{'clicked_profile': True, 'exposure_p': 0.31, 'home_court': 25, 'intensity': 15, 'level': 20, 'mode': 'friend', 'rank_shown': 8, 'response': 'no_invite', 'session_id': 'f204a026-e885-4669-b3d4-635ff07ede90', 'shown_at': '2025-12-14T17:30:35.056525+00:00', 'sim_p_click': 0.467, 'sim_p_dismiss': 0.193, 'sim_p_invited': 0.166, 'style': 15, 'synthetic_version': 'v3_funnel'}",0edtk2tg22e8juy,s306o41rvusge9b,False,8,False,False,75,f204a026-e885-4669-b3d4-635ff07ede90,True,2025-12-14 17:30:35.056Z,byz2urfgebs2koo,2025-12-14 17:30:35.118Z
False,False,pbc_3452021157,recommendation_logs,2025-12-14 17:30:35.018Z,"{'exposure_p': 0.269, 'home_court': 25, 'intensity': 30, 'level': 12, 'mode': 'friend', 'rank_shown': 9, 'session_id': 'f204a026-e885-4669-b3d4-635ff07ede90', 'shown_at': '2025-12-14T17:30:35.056525+00:00', 'style': 4.166666666666666, 'synthetic_version': 'v3_funnel'}",0edtk2tg22e8juy,0gizzabmedaq2ue,False,9,False,False,71.17,f204a026-e885-4669-b3d4-635ff07ede90,True,2025-12-14 17:30:35.056Z,frbz12jvqu7wjrv,2025-12-14 17:30:35.121Z
False,True,pbc_3452021157,recommendation_logs,2025-12-14 17:30:35.020Z,"{'clicked_profile': True, 'exposure_p': 0.235, 'home_court': 25, 'intensity': 15, 'invited_at': '2025-12-14T17:30:35.129057+00:00', 'level': 12, 'mode': 'friend', 'rank_shown': 10, 'response': 'ignored', 'session_id': 'f204a026-e885-4669-b3d4-635ff07ede90', 'shown_at': '2025-12-14T17:30:35.056525+00:00', 'sim_p_accepted': 0.541, 'sim_p_click': 0.418, 'sim_p_dismiss': 0.204, 'sim_p_invited': 0.114, 'style': 18.75, 'synthetic_version': 'v3_funnel'}",0edtk2tg22e8juy,90zig2ziocmt0ru,True,10,False,True,70.75,f204a026-e885-4669-b3d4-635ff07ede90,True,2025-12-14 17:30:35.056Z,uvumxuvhefkuo0u,2025-12-14 17:30:35.134Z
